# r Si-Si Si-Ge Ge-Ge
9.499999999999956257e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.699999999999989742e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.900000000000033218e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.009999999999996456e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.030000000000000249e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.050000000000004929e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.069999999999994955e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.090000000000000524e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.110000000000007203e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.129999999999996785e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.150000000000000577e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.169999999999997708e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.189999999999998170e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.209999999999998632e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.229999999999999760e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.269999999999999574e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.290000000000002700e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.310000000000001830e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.568671822710650920e-02
1.330000000000000293e+00 0.000000000000000000e+00 9.975491824536857066e-02 0.000000000000000000e+00
1.350000000000002975e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.370000000000003437e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.834579457988842532e-02
1.389999999999991465e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.410000000000005249e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.396376837912206625e-02
1.430000000000005489e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.190935321777938705e-02
1.449999999999993294e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.470000000000007967e+00 0.000000000000000000e+00 8.165906709207784719e-02 6.804922257673153008e-02
1.490000000000005320e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.866221800840427741e-02
1.509999999999994680e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.286814808687045286e-02
1.529999999999991145e+00 0.000000000000000000e+00 7.538010482208237772e-02 0.000000000000000000e+00
1.550000000000006928e+00 0.000000000000000000e+00 7.344738888735820315e-02 1.224123148122636395e-01
1.569999999999994289e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.589999999999992530e+00 0.000000000000000000e+00 6.979845474190747578e-02 0.000000000000000000e+00
1.610000000000009202e+00 0.000000000000000000e+00 2.042253742648996728e-01 0.000000000000000000e+00
1.629999999999996341e+00 0.000000000000000000e+00 1.328296783621524535e-01 0.000000000000000000e+00
1.649999999999993472e+00 0.000000000000000000e+00 1.296291199727021837e-01 5.401213332195924088e-02
1.670000000000003038e+00 0.000000000000000000e+00 1.423607173979505869e-01 9.146380180518365322e-02
1.689999999999997948e+00 0.000000000000000000e+00 7.722844990670990617e-02 3.782617954614362482e-02
1.709999999999993081e+00 0.000000000000000000e+00 3.620761024197635125e-01 3.694654106324117560e-02
1.730000000000005089e+00 0.000000000000000000e+00 1.768764423345625114e-01 1.343619233153706127e-01
1.750000000000000000e+00 0.000000000000000000e+00 2.880944970092952917e-01 1.044195564670425125e-01
1.769999999999994689e+00 0.000000000000000000e+00 3.942690344524455992e-01 8.142096192531067533e-02
1.790000000000007585e+00 0.000000000000000000e+00 2.202902085408524613e-01 4.589379344601093175e-02
1.810000000000002052e+00 0.000000000000000000e+00 1.615866469042335218e-01 1.544050181529342536e-01
1.829999999999995852e+00 0.000000000000000000e+00 4.215307561767104305e-01 2.078978219238878378e-01
1.850000000000008304e+00 0.000000000000000000e+00 3.093494488358655148e-01 2.715400717559263155e-01
1.870000000000003659e+00 0.000000000000000000e+00 2.018451977521336649e-01 3.017036467761058938e-01
1.889999999999990132e+00 0.000000000000000000e+00 3.704924695871675278e-01 1.416104550422062625e-01
1.910000000000010356e+00 0.000000000000000000e+00 4.836988780970374324e-01 4.288796719127064283e-01
1.930000000000005933e+00 0.000000000000000000e+00 5.684712748088783796e-01 3.574537063594149244e-01
1.949999999999992184e+00 0.000000000000000000e+00 5.452687639554467669e-01 1.887171324895446922e-01
1.970000000000013074e+00 0.000000000000000000e+00 5.115194155723591374e-01 5.992239236815307679e-01
1.990000000000006208e+00 0.000000000000000000e+00 5.904074822324930638e-01 6.908169179863182796e-01
2.009999999999993570e+00 0.000000000000000000e+00 4.476864502393764211e-01 5.038868099956586022e-01
2.029999999999986926e+00 0.000000000000000000e+00 6.316001352550969505e-01 3.796737536222729581e-01
2.050000000000006484e+00 0.000000000000000000e+00 6.088392161946420966e-01 4.422832007299006829e-01
2.069999999999995843e+00 0.000000000000000000e+00 6.750817500809466187e-01 6.072444035586512801e-01
2.089999999999990976e+00 0.000000000000000000e+00 5.453604821244050216e-01 3.681080200582719786e-01
2.110000000000010090e+00 0.000000000000000000e+00 6.242494648465344298e-01 6.650302580904773331e-01
2.129999999999996341e+00 0.000000000000000000e+00 5.736875240347120153e-01 1.905809401878026388e-01
2.149999999999989697e+00 0.000000000000000000e+00 5.248901577769173876e-01 6.405153118895569042e-01
2.170000000000001705e+00 0.000000000000000000e+00 3.934708286036106006e-01 6.920090128457149214e-01
2.190000000000003055e+00 0.000000000000000000e+00 3.403268918946382171e-01 4.983702203644814199e-01
2.209999999999995524e+00 0.000000000000000000e+00 6.170995344475932454e-01 4.291754987886937656e-01
2.230000000000007976e+00 0.000000000000000000e+00 5.233896930136294756e-01 4.640927124584360852e-01
2.250000000000000000e+00 0.000000000000000000e+00 6.753355288393225742e-01 5.685800534048933708e-01
2.269999999999992024e+00 0.000000000000000000e+00 6.677684104081929028e-01 4.999701944594676095e-01
