# r Ge-Ge Ge-Si Si-Si
5.309999999999966747e+00 6.931678055254955062e-01 4.336580091023347627e-01 6.488062083728830531e-01
5.329999999999995630e+00 7.726365372471261095e-01 4.215609386328655339e-01 7.114902120823676235e-01
5.349999999999988987e+00 7.409148228453692475e-01 4.509690284700722529e-01 7.264066850258398267e-01
5.369999999999975238e+00 8.268815922591942202e-01 4.452770013905559821e-01 6.973481355203270393e-01
5.390000000000017444e+00 8.454507560872158711e-01 4.451307130381327304e-01 7.204725176108918161e-01
5.410000000000013465e+00 8.898877140196649327e-01 4.728419286896367035e-01 7.835222464916934415e-01
5.430000000000000604e+00 8.867605041282989875e-01 4.866318129132057302e-01 7.595969204411154863e-01
5.450000000000025935e+00 9.154052884303530702e-01 5.183388307856586774e-01 7.996044499692124274e-01
5.470000000000021956e+00 9.482989380059977380e-01 5.493886806375302134e-01 8.338872943807822402e-01
5.490000000000007319e+00 9.753196079810571018e-01 5.850564833393846476e-01 8.036796484052274314e-01
5.509999999999992681e+00 9.832479871383771330e-01 5.905032472136730881e-01 8.579924680724348995e-01
5.529999999999978044e+00 9.710217329392434316e-01 6.303385388554244573e-01 8.224098257405414447e-01
5.549999999999974065e+00 9.703704297916190269e-01 6.576373577622617317e-01 8.169228701982583773e-01
5.569999999999997620e+00 9.209674470218369713e-01 6.967804293853541164e-01 8.214721798529707186e-01
5.589999999999983871e+00 9.336461094037167285e-01 7.341714733663183834e-01 8.115579241496403418e-01
5.609999999999979892e+00 9.220414875448394998e-01 7.593352471150779381e-01 8.146603581576632447e-01
5.630000000000029203e+00 8.605663765608763116e-01 7.771562953246559102e-01 8.210893520668894885e-01
5.650000000000015454e+00 9.073903482244539687e-01 8.190930354680096004e-01 8.129734375132441349e-01
5.670000000000008811e+00 8.503195624559501953e-01 8.529746930188544241e-01 8.206569721730727629e-01
5.690000000000035030e+00 8.298241314196196372e-01 8.757858753922487249e-01 7.584404340892368923e-01
5.710000000000020393e+00 7.756583630891906722e-01 9.286751152837441348e-01 7.716665909463945594e-01
5.730000000000013749e+00 7.318311981425117407e-01 9.121323825276758113e-01 7.306924746705927287e-01
5.750000000000000000e+00 6.831898346706796188e-01 9.681062471422728910e-01 7.316077830758918044e-01
5.769999999999986251e+00 6.819552701223111635e-01 9.790803251053308287e-01 7.379003662167848976e-01
5.789999999999979607e+00 6.243490788992966944e-01 1.015291196935666163e+00 6.651170114724896942e-01
