# r Si-Si Si-Ge Ge-Ge
9.499999999999956257e-01 3.249575117037067917e-02 1.392508885878767089e-01 1.287348825514822437e-01
9.699999999999989742e-01 6.961913217514702212e-02 2.447686631108693112e-01 5.740928100169637865e-02
9.900000000000033218e-01 0.000000000000000000e+00 8.576557843642877710e-02 1.064910653920399242e-01
1.009999999999996456e+00 2.874967189546973750e-02 1.649450260153224324e-01 9.549054055211850245e-02
1.030000000000000249e+00 6.174465448787379296e-02 2.188103210056841774e-01 4.746493975969724027e-02
1.050000000000004929e+00 0.000000000000000000e+00 2.111592891381895987e-01 1.340278935097560242e-01
1.069999999999994955e+00 0.000000000000000000e+00 2.749273647590201319e-01 4.109928963507012561e-02
1.090000000000000524e+00 2.909750526972760404e-02 3.005924821236743982e-01 1.014876529286158902e-01
1.110000000000007203e+00 1.249720036910406118e-01 2.730923903080736403e-01 1.285524421302725040e-01
1.129999999999996785e+00 2.707401790315776269e-02 2.965486994982900470e-01 4.230315297368400507e-02
1.150000000000000577e+00 4.831652476366363885e-02 3.320476683820119956e-01 1.477794793698951614e-01
1.169999999999997708e+00 2.676189680906592566e-02 3.062863062468121900e-01 8.189739028191916903e-02
1.189999999999998170e+00 5.028267244112803042e-02 2.513951531556465890e-01 7.916773430227498631e-02
1.209999999999998632e+00 4.722481913460367664e-02 3.878630473426488146e-01 6.653293195194057152e-02
1.229999999999999760e+00 0.000000000000000000e+00 4.178359078834898432e-01 1.343331225697516340e-01
1.250000000000000000e+00 4.089526488017578704e-02 2.960356852119263582e-01 5.640717393602887042e-02
1.269999999999999574e+00 4.189292724147721664e-02 4.558885690835298155e-01 6.244168399899332339e-02
1.290000000000002700e+00 4.402922755206784694e-02 2.522232851838142054e-01 9.618311823360298218e-02
1.310000000000001830e+00 1.904149293935700551e-02 3.917417627326986729e-01 2.934337080785574120e-02
1.330000000000000293e+00 4.142072729911498025e-02 3.923453517935633905e-01 9.059502944668307300e-02
1.350000000000002975e+00 3.619344020856813532e-02 4.612461853199528727e-01 1.131523671239415274e-01
1.370000000000003437e+00 0.000000000000000000e+00 5.236973623665825972e-01 1.121076951297514945e-01
1.389999999999991465e+00 0.000000000000000000e+00 5.319336660246086756e-01 8.197868454391366022e-02
1.410000000000005249e+00 3.199633840278554020e-02 5.199097972986623795e-01 1.173081484513719686e-01
